archive,outer_input_sha256,member_path,member_sha256,role,canonical_consumers
reference/evidence/B11_GLOBAL_FINAL_EVIDENCE.zip,2095d8c17081cc9e574f5e052b2a1100864eff499610c45ef2c999905bf67c83,combined_safety_audit.json,d4d5bb74eb5f657c26ec2e3daaa90dbeeb7fa3836904126b6fc0c583b99d6f1d,B1.1 final safety source,b11_global/safety_metrics.json
reference/evidence/B11_GLOBAL_FINAL_EVIDENCE.zip,2095d8c17081cc9e574f5e052b2a1100864eff499610c45ef2c999905bf67c83,empirical_risk_metrics.csv,694d42ce3de303871f7451381c4344487e5c55c70e54b4f7351d395cecf53b1e,B1.1 empirical risk,b11_global/empirical_risk_metrics.csv
reference/evidence/B11_GLOBAL_FINAL_EVIDENCE.zip,2095d8c17081cc9e574f5e052b2a1100864eff499610c45ef2c999905bf67c83,exact_validation_metrics.csv,5e755f882ac8b492c93d2ca08690c58b6f6ea53df6852ea429efd69801b40edf,B1.1 exact labels/diameters,b11_global/figure_data
reference/evidence/B11_GLOBAL_FINAL_EVIDENCE.zip,2095d8c17081cc9e574f5e052b2a1100864eff499610c45ef2c999905bf67c83,operational_controller_metrics.csv,1e3a2f892e397e811c55a0bcd80074ed7169f0684e220f6537b2019f27fa01bd,B1.1 operational frontier,b11_global/budget_metrics.csv; b11_global/profile_condition_metrics.csv; b11_global/figure_data/risk_resolution_yield_frontier.csv
reference/evidence/B11_GLOBAL_FINAL_EVIDENCE.zip,2095d8c17081cc9e574f5e052b2a1100864eff499610c45ef2c999905bf67c83,read_only_b1/config_resolved.yaml,7a22b21f9c973c0612962357278f6a692c95d580601cfb1f7d3255e40b9bf992,B1.1 frozen design,b11_global/canonical_summary.json
reference/evidence/B11_GLOBAL_FINAL_EVIDENCE.zip,2095d8c17081cc9e574f5e052b2a1100864eff499610c45ef2c999905bf67c83,read_only_b1/controller_traces.jsonl,135bb5acce9149c99e33f6263f83d5c413a1f3bfc78e3c8e083d67cd380d777e,B1.1 54 sealed trace-level query counts,b11_global/figure_data/query_fraction_all_54_traces.csv
reference/evidence/B11_GLOBAL_FINAL_EVIDENCE.zip,2095d8c17081cc9e574f5e052b2a1100864eff499610c45ef2c999905bf67c83,runtime_cost_decomposition.csv,205321c887b8a02e353f2c4301c4b2e6734559e06bbaffe67f1ea6ea37a3262b,B1.1 cost decomposition,b11_global/runtime_cost_decomposition.csv
reference/evidence/B11_GLOBAL_FINAL_EVIDENCE.zip,2095d8c17081cc9e574f5e052b2a1100864eff499610c45ef2c999905bf67c83,terminal_status.json,cb9be39b7410c15236d58d9ede1e190a0e612e51687f335ab7906ba4eac65511,B1.1 final terminal/count source,b11_global/canonical_summary.json
reference/evidence/FORMAL_B2_FINAL_EVIDENCE.zip,89649c27c956a2ade19ea2fe16ef549b4a028d7d544fd5eeef47a1dd4bddc738,,,final Formal B2 overlay and predecessor evidence,provenance/immutable_inputs.json
reference/evidence/FORMAL_B2_FINAL_EVIDENCE.zip,89649c27c956a2ade19ea2fe16ef549b4a028d7d544fd5eeef47a1dd4bddc738,completed_bound_validation_audit.json,b11d6ea5eeab114a48c5bb1284b6f64c5cb16884a50d3eab672aaa8a56889130,14-case completed-bound proof,validation/denominator_checks.json
reference/evidence/FORMAL_B2_FINAL_EVIDENCE.zip,89649c27c956a2ade19ea2fe16ef549b4a028d7d544fd5eeef47a1dd4bddc738,contract_faithful_safety_audit.json,c4e9c892ae76735dd6b17fc089ddb18f7b94c32d35971fe8fb3693fb17f7a1e3,Formal B2 authoritative safety closure,formal_b2/safety_closure_metrics.json
reference/evidence/FORMAL_B2_FINAL_EVIDENCE.zip,89649c27c956a2ade19ea2fe16ef549b4a028d7d544fd5eeef47a1dd4bddc738,formal_adjudication.json,33b9596d948621fd3d190389557b4c57ba6d32957871900d61b80047f07cdc62,Formal B2 final PASS/count source,formal_b2/canonical_merged_summary.json
reference/evidence/FORMAL_B2_FINAL_EVIDENCE.zip,89649c27c956a2ade19ea2fe16ef549b4a028d7d544fd5eeef47a1dd4bddc738,native_empty_profile_schema_audit.json,8fed8404eb941c04ce764ce39c2dcb90e34933d13337a92429139eeecd300d41,P05 native empty-profile schema,formal_b2/empty_profile_disclosure.json
reference/evidence/FORMAL_B2_FINAL_EVIDENCE.zip,89649c27c956a2ade19ea2fe16ef549b4a028d7d544fd5eeef47a1dd4bddc738,p05_possible_set_proof.json,367712855bc44210e2f2f4be75667f67958d08c3788cee09c474f34e8073de20,P05 162-prefix possible-set proof,formal_b2/empty_profile_disclosure.json
reference/evidence/FORMAL_B2_FINAL_EVIDENCE.zip,89649c27c956a2ade19ea2fe16ef549b4a028d7d544fd5eeef47a1dd4bddc738,paper_export/b2f03_safety_closure_summary.json,cafea38ada5772427598115c74e8a9167428fa3d3f65572620404af56d564fe0,Formal B2 paper-facing overlay cross-check,validation/stale_field_rejection.json
reference/evidence/FORMAL_B2_FINAL_EVIDENCE.zip::predecessor/B2F02_FINAL_EVIDENCE_BUNDLE.zip,89649c27c956a2ade19ea2fe16ef549b4a028d7d544fd5eeef47a1dd4bddc738,formal_case_rows_b2f02.json,99f840f3cc81f9120be5b524cd6cb885c52f76c3fff3be8bde6b9edd6346bb86,Formal B2 sealed non-safety case rows,formal_b2/canonical_case_rows.csv
reference/evidence/FORMAL_B2_FINAL_EVIDENCE.zip::predecessor/B2F02_FINAL_EVIDENCE_BUNDLE.zip,89649c27c956a2ade19ea2fe16ef549b4a028d7d544fd5eeef47a1dd4bddc738,plugin_false_precision_metrics.json,7efeceb4e903cacef279d932f2f2c3f79e970120816774116f1c671083007f87,Formal B2 plug-in comparison,formal_b2/plugin_false_precision_metrics.json
reference/evidence/FORMAL_B2_FINAL_EVIDENCE.zip::predecessor/B2F02_FINAL_EVIDENCE_BUNDLE.zip,89649c27c956a2ade19ea2fe16ef549b4a028d7d544fd5eeef47a1dd4bddc738,primary_budget_metrics.json,6b98c6832d8b081539f7633762a7495848e32960e88aaaba186d4618b33e9a6b,Formal B2 sealed primary metrics,formal_b2/primary_budget_metrics.json
reference/evidence/FORMAL_B2_FINAL_EVIDENCE.zip::predecessor/B2F02_FINAL_EVIDENCE_BUNDLE.zip,89649c27c956a2ade19ea2fe16ef549b4a028d7d544fd5eeef47a1dd4bddc738,provenance/source_freeze/fixed_design_scientific_figure_data.json,b9723f054323efbb973502e26e4ebcc955c79e37d3038d9b91a0bbb3038c085f,Formal B2 frozen application design,formal_b2/figure_data/response_library_and_coherence.json
reference/evidence/FORMAL_B2_FINAL_EVIDENCE.zip::predecessor/B2F02_FINAL_EVIDENCE_BUNDLE.zip,89649c27c956a2ade19ea2fe16ef549b4a028d7d544fd5eeef47a1dd4bddc738,representative_examples.json,ed9fc6d15f62eaf11b9ff7c405de20ac8dedad0d49a0e9805b6f747ca06b522a,Formal B2 frozen representative rule,formal_b2/representative_examples.json
reference/evidence/FORMAL_B2_FINAL_EVIDENCE.zip::predecessor/B2F02_FINAL_EVIDENCE_BUNDLE.zip,89649c27c956a2ade19ea2fe16ef549b4a028d7d544fd5eeef47a1dd4bddc738,run_records/stage_a/FORMAL_PERSISTENT_ONLY_P01/job.json,35aa0092ca4ff6e96346e9353c42d10c8b6f7c56997476d0605b2f8b224ec71c,Formal B2 frozen N/T/h/threshold design,formal_b2/canonical_merged_summary.json
reference/evidence/FORMAL_B2_FINAL_EVIDENCE.zip::predecessor/B2F02_FINAL_EVIDENCE_BUNDLE.zip,89649c27c956a2ade19ea2fe16ef549b4a028d7d544fd5eeef47a1dd4bddc738,runtime_decomposition_receipt.json,c4da2a8670838605545ebce6e60f76960394d2d994ae0ab6582de099ad9d2b04,Formal B2 operational/offline cost separation,provenance/source_artifact_manifest.csv
reference/evidence/FORMAL_B2_FINAL_EVIDENCE.zip::predecessor/B2F02_FINAL_EVIDENCE_BUNDLE.zip,89649c27c956a2ade19ea2fe16ef549b4a028d7d544fd5eeef47a1dd4bddc738,secondary_budget_metrics.json,c759570d16054236b91a1f4e3c09255060f814808397eca13ab11e05e734efed,Formal B2 descriptive 108-prefix metrics,formal_b2/secondary_prefix_metrics.json
reference/evidence/ORIGINAL_THREE_GATE_EXPERIMENT_EVIDENCE.zip,cb99fc8fda7efa3872185f0ca1460de262fdc201d2a1996182e74b47a00b8379,,,theorem-native original numerical evidence,provenance/immutable_inputs.json
reference/evidence/ORIGINAL_THREE_GATE_EXPERIMENT_EVIDENCE.zip,cb99fc8fda7efa3872185f0ca1460de262fdc201d2a1996182e74b47a00b8379,results/adjudication.json,b580d74ae82cd7c296a7a790530f11bf49120abfab196185906108100a66486d,original numerical confirmatory adjudication,original_numerical/canonical_summary.json
reference/evidence/ORIGINAL_THREE_GATE_EXPERIMENT_EVIDENCE.zip,cb99fc8fda7efa3872185f0ca1460de262fdc201d2a1996182e74b47a00b8379,results/confirmatory_summary.csv,ca70145f3206d7d44b6c8bdbfef32dec3d0208761047c37cca5e71ae4dc2ea79,theorem-native figure data,original_numerical/figure_data/confirmatory_summary.csv
reference/evidence/ORIGINAL_THREE_GATE_EXPERIMENT_EVIDENCE.zip,cb99fc8fda7efa3872185f0ca1460de262fdc201d2a1996182e74b47a00b8379,results/dictionary_collapse.csv,32caf957e68bde51ead777c3ebed50dc9338beba547be8e49b0c1f8fecb3219b,theorem-native figure data,original_numerical/figure_data/dictionary_collapse.csv
reference/evidence/ORIGINAL_THREE_GATE_EXPERIMENT_EVIDENCE.zip,cb99fc8fda7efa3872185f0ca1460de262fdc201d2a1996182e74b47a00b8379,results/gate_curves.csv,18684cbea101cd9b024ecbd0778b5abf501863fd86b15099d9361bf93abb8c47,theorem-native figure data,original_numerical/figure_data/gate_curves.csv
reference/evidence/ORIGINAL_THREE_GATE_EXPERIMENT_EVIDENCE.zip,cb99fc8fda7efa3872185f0ca1460de262fdc201d2a1996182e74b47a00b8379,results/gauss_hermite_checks.csv,0139e0016998b94f6b010a505d50afd5e29b68a369607b7c1c990dc08d040ae2,theorem-native figure data,original_numerical/figure_data/gauss_hermite_checks.csv
reference/evidence/ORIGINAL_THREE_GATE_EXPERIMENT_EVIDENCE.zip,cb99fc8fda7efa3872185f0ca1460de262fdc201d2a1996182e74b47a00b8379,results/gauss_hermite_crosscheck.csv,5b18165a447f0f639056d1f319e9a8e2f6e3d6b76c1b6e3c9d07d9a67906be32,theorem-native figure data,original_numerical/figure_data/gauss_hermite_crosscheck.csv
reference/evidence/ORIGINAL_THREE_GATE_EXPERIMENT_EVIDENCE.zip,cb99fc8fda7efa3872185f0ca1460de262fdc201d2a1996182e74b47a00b8379,results/posthoc/gauss_hermite_all_s_order14.csv,814e92c11ae630bd3a99cc3ee93d6d89c2b5c5eaf791832b318ea807eaa047a5,post-hoc robustness data,original_numerical/figure_data/posthoc_gauss_hermite_all_s_order14.csv
reference/evidence/ORIGINAL_THREE_GATE_EXPERIMENT_EVIDENCE.zip,cb99fc8fda7efa3872185f0ca1460de262fdc201d2a1996182e74b47a00b8379,results/posthoc/h_scaling_summary.csv,2049ca7d54123b650cda526534225a26e251819879114f3571143d87402bef17,post-hoc robustness data,original_numerical/figure_data/posthoc_h_scaling_summary.csv
reference/evidence/ORIGINAL_THREE_GATE_EXPERIMENT_EVIDENCE.zip,cb99fc8fda7efa3872185f0ca1460de262fdc201d2a1996182e74b47a00b8379,results/posthoc/posthoc_adjudication.json,0a92e24aa10fe7106bde6c2cdc2098797c07994c1c3b71830d674ecaea782668,post-hoc robustness adjudication,original_numerical/canonical_summary.json
reference/evidence/ORIGINAL_THREE_GATE_EXPERIMENT_EVIDENCE.zip,cb99fc8fda7efa3872185f0ca1460de262fdc201d2a1996182e74b47a00b8379,results/posthoc/stress_summary.csv,a9971ee129b65a3517d767afaf72cf1feb3549a2c34d1d2778204c582c0c7801,post-hoc robustness data,original_numerical/figure_data/posthoc_stress_summary.csv
reference/evidence/ORIGINAL_THREE_GATE_EXPERIMENT_EVIDENCE.zip,cb99fc8fda7efa3872185f0ca1460de262fdc201d2a1996182e74b47a00b8379,results/projective_matching.csv,df2e8ba60f9ae6d8f24a7e7329d31bb39a9cdef47427fa1a542510292f5f4388,theorem-native figure data,original_numerical/figure_data/projective_matching.csv
reference/evidence/ORIGINAL_THREE_GATE_EXPERIMENT_EVIDENCE.zip,cb99fc8fda7efa3872185f0ca1460de262fdc201d2a1996182e74b47a00b8379,results/task_controls.csv,a72171efdbc41f4bd9af2883426bda84fa3224fbcc4d4de4dacb90250c6ae795,theorem-native figure data,original_numerical/figure_data/task_controls.csv
reference/manuscript/Honest_Collision_Aware_Dictionary_Refinement_V2_SOURCE.zip,8ab580ae47fe83455814f840b6bf32133bf074c7f388eec7f170523b3f85f872,,,immutable manuscript theory source,provenance/immutable_inputs.json
reference/manuscript/Honest_Collision_Aware_Dictionary_Refinement_V2_SOURCE.zip,8ab580ae47fe83455814f840b6bf32133bf074c7f388eec7f170523b3f85f872,appendices/A_main_proofs.tex,1e7fcf159b8aaab739ae7a796e3c97079a1b63c642b8d8d4aa2143162a35b14d,theorem source anchor,theory/canonical_theorem_claims.yaml; theory/theorem_numeric_macros.tex
reference/manuscript/Honest_Collision_Aware_Dictionary_Refinement_V2_SOURCE.zip,8ab580ae47fe83455814f840b6bf32133bf074c7f388eec7f170523b3f85f872,sections/02_collision.tex,c6ddda1ee55104d55695e5de59fb9490187fe4b87f973a4ebc138780ab45b984,theorem source anchor,theory/canonical_theorem_claims.yaml; theory/theorem_numeric_macros.tex
reference/manuscript/Honest_Collision_Aware_Dictionary_Refinement_V2_SOURCE.zip,8ab580ae47fe83455814f840b6bf32133bf074c7f388eec7f170523b3f85f872,sections/03_problem.tex,b2020dc9f0b7fa03b5d0da43ebf2c7d01cb2c5f7384416a649fd776d2e8a427f,theorem source anchor,theory/canonical_theorem_claims.yaml; theory/theorem_numeric_macros.tex
reference/manuscript/Honest_Collision_Aware_Dictionary_Refinement_V2_SOURCE.zip,8ab580ae47fe83455814f840b6bf32133bf074c7f388eec7f170523b3f85f872,sections/04_method.tex,63e433ef4649ec180f3dd85bffade8b02256bbff4b672eb90bbae1c59b7fc5ba,theorem source anchor,theory/canonical_theorem_claims.yaml; theory/theorem_numeric_macros.tex
reference/manuscript/Honest_Collision_Aware_Dictionary_Refinement_V2_SOURCE.zip,8ab580ae47fe83455814f840b6bf32133bf074c7f388eec7f170523b3f85f872,sections/05_main_results.tex,b8c9407c0c12213d9d7e49e335664a3a36b1861ba16d82fef674441dcfd56ad7,theorem source anchor,theory/canonical_theorem_claims.yaml; theory/theorem_numeric_macros.tex
